Redshift,Lum. Distance,Erro
0.078,348.49616232743784,3.551137054280389
0.08800000000000001,396.40744476329803,4.419204589215184
0.103,469.6033365791152,5.850062771643707
0.103,469.6033365791152,5.850062771643707
0.152,719.5001111831053,11.340494839277026
0.208,1024.2712228255048,18.408900502860718
0.214,1058.0729158310812,19.177133213656358
0.215,1063.7273988127429,19.305005927961645
0.235,1178.0499506632025,21.84421275576221
0.235,1178.0499506632025,21.84421275576221
0.236,1183.826937473589,21.969943643661793
0.252,1277.0297605819076,23.959444591969714
0.253,1282.902599083588,24.08223084879603
0.313,1645.0440687186212,30.99577736276268
0.314,1651.2360004004943,31.102352045206885
0.318,1676.0526782083627,31.525571108469876
0.324,1713.423395095119,32.15110071208386
0.345,1845.5671400236,34.251597493966074
0.35200000000000004,1890.0688519252967,34.920924255683076
0.355,1909.2088658505265,35.203071131112324
0.363,1960.445213427296,35.941722386778046
0.363,1960.445213427296,35.941722386778046
0.378,2057.267673138132,37.27339330853715
0.391,2141.954122279191,38.37236661854547
0.399,2194.4157882412233,39.02382513262444
0.404,2227.33575369002,39.421574340211684
0.423,2353.329720196916,40.86883591768401
0.442,2480.695677843397,42.21864693836199
0.447,2514.432898412383,42.55838161423685
0.451,2541.487066862706,42.82566828796564
0.46,2602.5649959961693,43.41273306418418
0.461,2609.368831145304,43.476757449173654
0.487,2787.4522563389783,45.06032271130073
0.539,3150.001489989323,47.80149350875399
0.5760000000000001,3412.6456687756395,49.45144448438521
0.596,3556.082573843879,50.2520565142845
0.7020000000000001,4331.233799752314,53.59326657273823
0.723,4487.4416957315525,54.09801113978836
1.028,6832.6086847925735,57.229808699081104
1.063,7110.022760592283,57.23559120484526
